1	229	43	80	
2	255	191	0	
3	153	102	204	
4	251	206	177	
5	127	255	212	
6	0	127	255	
7	137	207	240	
8	245	245	220	
9	0	0	0	
10	0	0	255	
11	0	149	182	
12	138	43	226	
13	222	93	131	
14	205	127	50	
15	150	75	0	
16	128	0	32	
17	112	41	99	
18	150	0	24	
19	222	49	99	
20	0	123	167	
21	247	231	206	
22	127	255	0	
23	123	63	0	
24	0	71	171	
25	111	78	55	
26	184	115	51	
27	248	131	121	
28	220	20	60	
29	0	255	255	
30	237	201	175	
31	125	249	255	
32	80	200	120	
33	0	255	63	
34	255	215	0	
35	128	128	128	
36	0	255	0	
37	63	255	0	
38	75	0	130	
39	255	255	240	
40	0	168	107	
41	41	171	135	
42	181	126	220	
43	255	247	0	
44	200	162	200	
45	191	255	0	
46	255	0	255	
47	255	0	175	
48	128	0	0	
49	224	176	255	
50	0	0	128	
51	204	119	34	
52	128	128	0	
53	255	165	0	
54	255	69	0	
55	218	112	214	
56	255	229	180	
57	209	226	49	
58	204	204	255	
59	28	57	187	
60	255	192	203	
61	142	69	133	
62	0	49	83	
63	204	136	153	
64	128	0	128	
65	227	11	92	
66	255	0	0	
67	199	21	133	
68	255	0	127	
69	224	17	95	
70	250	128	114	
71	146	0	10	
72	15	82	186	
73	255	36	0	
74	192	192	192	
75	112	128	144	
76	167	252	0	
77	0	255	127	
78	210	191	140	
79	72	60	50	
80	0	128	128	
81	64	224	208	
82	238	130	238	
83	64	130	109	
84	255	255	255	
85	255	255	0	
